"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Invoice.js", "JavaScript", 177, 88, 23, 288
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Order.js", "JavaScript", 114, 86, 29, 229
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Product.js", "JavaScript", 63, 94, 21, 178
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/ProductCatalog.js", "JavaScript", 49, 36, 14, 99
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Store.js", "JavaScript", 64, 69, 21, 154
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/index.js", "JavaScript", 17, 3, 4, 24
"Total", "-", 484, 376, 112, 972
