"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Invoice.js", "JavaScript", 177, 88, 23, 288
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Order.js", "JavaScript", 108, 97, 30, 235
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Product.js", "JavaScript", 63, 94, 21, 178
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/ProductCatalog.js", "JavaScript", 48, 36, 14, 98
"/Users/filippa/Universitet/År 2/1dv610/Examinations/L2_1dv610/src/Store.js", "JavaScript", 63, 69, 20, 152
"Total", "-", 459, 384, 108, 951
